artist,ms_listened
"Travis Scott",9570919
"Kodak Black",8450975
"Metro Boomin",7276368
"Meek Mill",7125146
"6ix9ine",6695040
"Lil Baby",4229357
"Juice WRLD",3523445
"Trippie Redd",2874207
"Post Malone",2253634
"Takeoff",1776213
"Ski Mask The Slump God",1457865
"Drake",1386467
"Flipp Dinero",1344109
"Rich The Kid",1215423
"Kanye West",990616
"Young Thug",833241
"YG",779345
"21 Savage",767321
"Wiz Khalifa",721676
"Gucci Mane",699564
"Tyga",683904
"Lil Yachty",600066
"Lil Skies",580198
"Rihanna",484172
"Sheck Wes",392082
"XXXTENTACION",365888
"A Boogie Wit da Hoodie",307178
"Aminé",293931
"Kid Ink",267889
"Quavo",252027
"Lil Mosey",246989
"Russ",221179
"Lil Wayne",220188
"French Montana",197998
"Bad Bunny",185836
"KILLY",169752
"Ricegum",169300
"2 Chainz",160550
"Mariah Carey",106403
"BlocBoy JB",102376
"Lil Uzi Vert",99044
"Cardi B",91367
"Elton John",82383
"Kailash Kher",78357
"Future",73139
"Smokepurpp",63051
"PARTYNEXTDOOR",54976
"Tory Lanez",50686
"The Carters",38475
"Famous Dex",35903
"Flume",35325
"Huncho Jack",30454
"KYLE",24276
"DJ ESCO",23561
"Snoop Dogg",23487
"Jason Derulo",21502
"Juicy J",20665
"Migos",20444
"SAINt JHN",19341
"No Jumper",19007
"Cheat Codes",18175
"Mark Ronson",17301
"Sfera Ebbasta",17216
"Chris Brown",15466
"Marshmello",15381
"Major Lazer",14122
"DJ Khaled",12969
"Zubin",12859
"Pritam",12812
"Desiigner",12415
"Silentó",11818
"DJ Snake",11050
"Gwen Stefani",10261
"Miguel",10218
"Natalie La Rose",10004
"Roddy Ricch",9409
"Lil Bird",8938
"A$AP Rocky",8566
"PHADE",8298
"Beyoncé",8106
"Ariana Grande",8063
"Denzel Curry",8021
"Why Don't We",7893
"Vigiland",7828
"USHER",7786
"G-Eazy",7594
"Rae Sremmurd",7063
"Comethazine",6720
"Kendrick Lamar",6272
"Fetty Wap",6186
"2Pac",6165
"Kina Grannis",6016
"Trey Songz",5503
"The Weeknd",5354
"Kvngshad",5311
"Florida Georgia Line",4926
"DeJ Loaf",4885
"Bruno Mars",4842
"A$AP Ferg",4760
"Kevin Gates",4672
"Almighty Jay",4650
"City Girls",4527
"Frank Ocean",4094
"24hrs",4010
"Kent Jones",3904
"Martin Solveig",3861
"Eminem",3711
"mike.",3626
"Anderson .Paak",3626
"Pia Mia",3391
"Nelly",3328
"Kelly Rowland",3306
"Snakehips",3285
"Zara Larsson",3221
"Blonde",3114
"Bryan Adams",3008
"Matoma",2943
"Tinie Tempah",2880
"Yella Beezy",2855
"Omarion",2837
"Saweetie",2786
"Nicki Minaj",2782
"Lily & Madeleine",2751
"Jeremih",2666
"Ludacris",2560
"Marc E. Bassy",2346
"Mike WiLL Made-It",2345
"Holy White Hounds",2261
"J. Cole",2240
"Deorro",2176
"Raleigh Ritchie",2090
"Ann Marie",2004
"Luke Christopher",1941
"Niykee Heaton",1813
"bbno$",1770
"David Zowie",1578
"Mac Miller",1346
"Maxo Kream",1277
"Pardison Fontaine",1264
"As December Falls",1216
"Chance the Rapper",1207
"JID",1184
"Nora Van Elken",1151
"Yung Pinch",1068
"ZAYN",1023
"88GLAM",928
"Playboi Carti",881
"Joyner Lucas",859
"Mos Def",704
"J-Haze",661
"Jon Bellion",426
