song,ms_listened
"Drake - Drew A Picasso",36958912
"Drake - Hours In Silence",26185049
"Drake - IMY2 (with Kid Cudi)",18758346
"Drake - Rich Baby Daddy (feat. Sexyy Red & SZA)",18438266
"Drake - Race My Mind",18105019
"Drake - Desires (with Future)",17485228
"Drake - Do Not Disturb",17476822
"Drake - Falling Back",17340333
"Drake - Privileged Rappers",16556719
"Travis Scott - MELTDOWN (feat. Drake)",16428242
"Drake - Feel No Ways",16125255
"Drake - Company",16039834
"Drake - Childs Play",14642356
"Drake - TSU",14630216
"Drake - F*****g Fans",14571698
"Drake - Pussy & Millions (feat. Travis Scott)",13949940
"Travis Scott - TELEKINESIS (feat. SZA & Future)",13933369
"Drake - Time Flies",13566913
"Drake - Texts Go Green",12891841
"Drake - Passionfruit",12689350
"Don Toliver - Embarrassed (feat. Travis Scott)",12500815
"Drake - Virginia Beach",12314919
"Metro Boomin - Too Many Nights (feat. Don Toliver & with Future)",12308514
"Drake - First Person Shooter (feat. J. Cole)",12184322
"Drake - Lemon Pepper Freestyle (feat. Rick Ross)",12029410
"Drake - Circo Loco",11908825
"Drake - Spin Bout U",11623430
"Lil Uzi Vert - Patience (feat. Don Toliver)",11373201
"Drake - Preach",11168596
"Drake - Massive",11127377
"Drake - Pipe Down",11013746
"Drake - Slime You Out (feat. SZA)",10977808
"Drake - All The Parties (feat. Chief Keef)",10944170
"Drake - Best I Ever Had",10627382
"Drake - Portland",10582465
"Drake - In My Feelings",10543280
"Drake - Members Only (feat. PARTYNEXTDOOR)",10345930
"J Hus - Who Told You (feat. Drake)",10304738
"Drake - Diamonds Dancing",9599994
"Drake - IDGAF (feat. Yeat)",9497210
"Drake - Pound Cake / Paris Morton Music 2",9492154
"Drake - Girls Want Girls (with Lil Baby)",9355410
"Drake - From Time",9267370
"Drake - Polar Opposites",9251916
"The Kid LAROI - TOO MUCH",9235827
"Drake - N 2 Deep",9112153
"Drake - Fair Trade (with Travis Scott)",9109062
"Drake - Love All (with JAY-Z)",8956725
"Travis Scott - NO BYSTANDERS",8876842
"Drake - I'm Upset",8813979
"Drake - On BS",8806694
"Drake - 7969 Santa",8791128
"Drake - Over",8735797
"Drake - Away From Home",8451060
"Drake - Middle of the Ocean",8442457
"A Boogie Wit da Hoodie - Skeezers",8428445
"Drake - Come Thru",8378432
"Drake - Marvins Room",8315348
"Drake - Forever",8259907
"Trippie Redd - 1400 / 999 Freestyle",8216294
"Drake - Sneakin’",8164793
"A Boogie Wit da Hoodie - 4 Min Convo (Favorite Song)",8122080
"Drake - Know Yourself",8068669
"Dave - Sprinter",8052406
"Drake - Pain 1993 (with Playboi Carti)",8014661
"Metro Boomin - Raindrops (Insane) [with Travis Scott]",7819080
"Drake - In The Bible (with Lil Durk & Giveon)",7805142
"Drake - Find Your Love",7693241
"The Weeknd - Double Fantasy (with Future)",7626712
"Drake - Jungle",7623756
"Drake - Not You Too (feat. Chris Brown)",7579478
"Drake - Papi’s Home",7485778
"Drake - Don’t Matter To Me (with Michael Jackson)",7420817
"Drake - Laugh Now Cry Later (feat. Lil Durk)",7399573
"Drake - Nonstop",7349835
"Drake - Lord Knows",7310572
"Drake - Lose You",7307691
"Drake - Emotionless",7292170
"Drake - All Me",7282140
"Drake - Hold On, We're Going Home",7210270
"A Boogie Wit da Hoodie - Just Like Me (feat. Young Thug)",7197960
"Young Thug - pick up the phone",7195231
"Drake - Another Late Night (feat. Lil Yachty)",7181240
"Drake - Energy",7164767
"Drake - Make Me Proud",6990902
"Kanye West - Flashing Lights",6980509
"Drake - Gyalchester",6920248
"Don Toliver - Private Landing (feat. Justin Bieber & Future)",6884110
"21 Savage - can't leave without it",6813154
"Drake - I Guess It’s Fuck Me",6807011
"Drake - U With Me?",6760504
"Drake - Flight's Booked",6741540
"Drake - Look What You've Done",6728143
"Kanye West - Devil In A New Dress",6722038
"Drake - From Florida With Love",6688890
"Drake - You Only Live Twice (with Lil Wayne & Rick Ross)",6687033
"Drake - Treacherous Twins",6668360
"Kanye West - Blood On The Leaves",6624847
"The Weeknd - False Idols (with Lil Baby, Suzanna Son)",6565726
"Drake - Too Good",6553289
"Future - Life Is Good (feat. Drake)",6532999
"Drake - God's Plan",6520569
"Drake - Rich Flex",6504555
"Drake - Calling For You (feat. 21 Savage)",6428698
"A Boogie Wit da Hoodie - Still Think About You",6422529
"Drake - Used To",6411965
"Drake - Fountains (with Tems)",6379747
"Drake - Worst Behavior",6338951
"Dreamville - Under The Sun (with J. Cole & Lute feat. DaBaby)",6289152
"Pop Smoke - Snitching (feat. Quavo & Future)",6267044
"A Boogie Wit da Hoodie - Demons and Angels (feat. Juice WRLD)",6230606
"Lil Uzi Vert - Aye (feat. Travis Scott)",6153698
"Drake - What Would Pluto Do",6124954
"Drake - Get Along Better",6011383
"A Boogie Wit da Hoodie - No Comparison",5912053
"Drake - Wants and Needs (feat. Lil Baby)",5901724
"Drake - Amen (feat. Teezo Touchdown)",5881052
"Drake - Mob Ties",5859622
"Majid Jordan - Stars Align (with Drake)",5830858
"21 Savage - a lot",5827758
"Travis Scott - I KNOW ?",5803985
"Drake - Faithful",5765016
"A Boogie Wit da Hoodie - Needed That",5709556
"Drake - On The Radar Freestyle",5708346
"Nicki Minaj - Needle (feat. Drake)",5662349
"Travis Scott - beibs in the trap",5644998
"Young Stoner Life - Solid (feat. Drake)",5639978
"The Kid LAROI - WHAT'S THE MOVE? (feat. Future and BabyDrill)",5614689
"Drake - Too Much",5566978
"Lil Wayne - Love Me",5564500
"Drake - Digital Dash",5533589
"Drake - You Broke My Heart",5450712
"Drake - Keep The Family Close",5403621
"The Kid LAROI - BLEED",5368067
"Travis Scott - SKITZO (feat. Young Thug)",5355017
"A Boogie Wit da Hoodie - Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again)",5344152
"Travis Scott - SIRENS",5327215
"Drake - A Keeper",5253060
"Bryson Tiller - Outta Time (feat. Drake)",5250780
"Future - Where Ya At (feat. Drake)",5242856
"The Kid LAROI - WHERE DO YOU SLEEP?",5232018
"Drake - Nice For What",5200301
"A Boogie Wit da Hoodie - D.T.B. (Interlude)",5171294
"Drake - Jimmy Cooks (feat. 21 Savage)",5170818
"Travis Scott - CAN'T SAY",5159200
"Metro Boomin - 10 Freaky Girls (with 21 Savage)",5084451
"Don Toliver - Bus Stop (feat. Brent Faiyaz)",5064046
"Baby Keem - family ties (with Kendrick Lamar)",5055872
"Drake - 10 Bands",5049506
"Drake - Gently (feat. Bad Bunny)",5042419
"Drake - Summer Sixteen",5040746
"The Kid LAROI - WHAT JUST HAPPENED",5039348
"Drake - Jumbotron Shit Poppin",5029961
"Big Sean - Blessings",5022862
"SZA - Low",4985536
"Drake - Can’t Take A Joke",4982640
"Drake - Star67",4978605
"PARTYNEXTDOOR - Recognize (feat. Drake)",4974738
"The Kid LAROI - THE LINE (feat. d4vd)",4969109
"Drake - Signs",4961333
"Gunna - MET GALA",4956557
"Rick Ross - Stay Schemin",4952184
"Metro Boomin - Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",4937897
"Drake - Broke Boys",4925254
"Offset - SAY MY GRACE (feat. Travis Scott)",4883889
"Headie One - Only You Freestyle",4877348
"Travis Scott - THANK GOD",4873349
"Drake - Chicago Freestyle (feat. Giveon)",4850542
"Travis Scott - YOSEMITE",4842868
"Gunna - TOP FLOOR (feat. Travis Scott)",4804677
"Drake - Ratchet Happy Birthday",4797329
"Lil Uzi Vert - Yessirskiii",4785782
"SZA - Used (feat. Don Toliver)",4774906
"Lil Baby - Yes Indeed",4752972
"Meek Mill - R.I.C.O. (feat. Drake)",4750158
"Drake - Hotline Bling",4740486
"Drake - BackOutsideBoyz",4689330
"A Boogie Wit da Hoodie - Might Not Give Up (feat. Young Thug)",4684896
"Drake - Fake Love",4676384
"A Boogie Wit da Hoodie - Blood On My Denim",4621819
"Drake - That’s How You Feel",4590151
"Travis Scott - MY EYES",4546984
"PARTYNEXTDOOR - LOYAL (feat. Drake)",4520162
"The Kid LAROI - SORRY",4447155
"Drake - Search & Rescue",4445995
"Drake - 6 Man",4437915
"21 Savage - ball w/o you",4400738
"A Boogie Wit da Hoodie - Love Drugs and Sex",4396989
"A Boogie Wit da Hoodie - Swervin (feat. 6ix9ine)",4387815
"Drake - Take Care",4375266
"Drake - Weston Road Flows",4343793
"The Kid LAROI - LOVE AGAIN",4334156
"Travis Scott - HYAENA",4333113
"Metro Boomin - All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",4282500
"DJ Khaled - For Free (feat. Drake)",4262035
"Lil Tecca - HVN ON EARTH (with Kodak Black)",4253286
"The Kid LAROI - NEED YOU MOST (So Sick)",4249149
"Drake - Redemption",4243921
"Drake - Views",4216080
"Drake - Live From The Gutter",4208910
"SZA - Love Galore (feat. Travis Scott)",4204374
"Drake - Back To Back",4182542
"Drake - Bahamas Promises",4126493
"A Boogie Wit da Hoodie - Fall in Love",4109651
"Future - Used to This (feat. Drake)",4095120
"Drake - Scholarships",4074756
"Drake - 8am in Charlotte",4061356
"Gucci Mane - Both (feat. Drake)",4060148
"Drake - 6 God",4056016
"A Boogie Wit da Hoodie - February",4038961
"Kendrick Lamar - Silent Hill",4030369
"Drake - Sticky",4024222
"Drake - Ice Melts",4005035
"Drake - Legend",3989117
"Drake - BBL Love - Interlude",3988159
"The Kid LAROI - TEAR ME APART",3977048
"Drake - Fancy",3969539
"Drake - Jumpman",3965484
"Rihanna - What's My Name?",3936911
"Drake - One Dance",3923386
"Travis Scott - FE!N (feat. Playboi Carti)",3922027
"Drake - Pop Style",3913482
"Drake - The Real Her",3910606
"Drake - Finesse",3864781
"Young Thug - Bubbly (with Drake & Travis Scott)",3856292
"A Boogie Wit da Hoodie - Timeless (feat. DJ SPINKING)",3846681
"A Boogie Wit da Hoodie - Secrets",3823628
"Drake - Deep Pockets",3777217
"Drake - When To Say When",3761206
"The Kid LAROI - I THOUGHT THAT I NEEDED YOU",3752984
"Drake - Grammys",3740966
"Drake - With You",3733142
"Drake - Hype",3731022
"Playboi Carti - wokeuplikethis*",3714178
"Drake - What’s Next",3699272
"Drake - Jorja Interlude",3697422
"The Kid LAROI - DESERVE YOU",3688217
"Drake - Evil Ways (feat. J. Cole)",3684169
"Brent Faiyaz - Trust",3678360
"Drake - The Motto",3642748
"Future - Low Life (feat. The Weeknd)",3641303
"Travis Scott - Apple Pie",3619135
"Kendrick Lamar - Money Trees",3605529
"BlocBoy JB - Look Alive (feat. Drake)",3593470
"Drake - The Shoe Fits",3589953
"Drake - Up All Night",3566473
"Drake - Blue Tint",3554529
"Drake - Furthest Thing",3536457
"DJ Khaled - I'm On One",3529104
"Drake - Demons (feat. Fivio Foreign & Sosa Geek)",3523791
"SZA - Kill Bill",3503649
"Drake - Toosie Slide",3482312
"Lil Uzi Vert - Neon Guts (feat. Pharrell Williams)",3452627
"Drake - Major Distribution",3443084
"Drake - Headlines",3433743
"Drake - Jaded",3427639
"Lil Yachty - Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)",3385670
"Travis Scott - DELRESTO (ECHOES) (feat. Beyoncé)",3383005
"Drake - Daylight",3380427
"J. Cole - p r i d e . i s . t h e . d e v i l (with Lil Baby)",3344565
"Kanye West - Off The Grid",3330587
"Nicki Minaj - Truffle Butter",3324299
"Lil Tecca - Need Me",3302008
"Drake - Landed",3298067
"Nicki Minaj - Moment 4 Life",3275713
